"filename", "language", "JSON", "Markdown", "YAML", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "JavaScript", "PostCSS", "MS SQL", "HTML", "Properties", "comment", "blank", "total"
"c:\Servers\Foundry\apps\keycloak-theme\public\keycloak-theme\login\js\passkeysConditionalAuth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 11, 87
"c:\Servers\Foundry\apps\keycloak-theme\public\keycloak-theme\login\js\rfc4648.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 11, 36, 186
"c:\Servers\Foundry\apps\keycloak-theme\public\keycloak-theme\login\js\webauthnAuthenticate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 9, 20, 113
"c:\Servers\Foundry\apps\keycloak-theme\public\keycloak-theme\login\js\webauthnRegister.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 7, 33, 153
"c:\Servers\Foundry\apps\keycloak-theme\public\manifest.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Servers\Foundry\apps\keycloak-theme\public\site.webmanifest", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Servers\Foundry\apps\keycloak-theme\scripts\prepare-publish.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 10, 13, 86
"c:\Servers\Foundry\apps\keycloak-theme\src\components\langauges.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Servers\Foundry\apps\keycloak-theme\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 16, 73
"c:\Servers\Foundry\apps\keycloak-theme\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
